"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"FN1",5.11420579053252,9.68746607463644,9.11893652784687,5.88132745906198,4.11859473202452,10.9539415231504,9.88713095828381,11.8233391375665,3.00517832348071,8.18287927308467,11.1453062390714,10.3521991322312,8.51174733015945,8.34762622429363,11.060757473204,11.3015297860844,10.8711490352635,10.3735532373274,7.02855884149833,6.6908757767515,6.59119239776954
"SF3B1",7.99290867312634,7.90410891159646,8.05501923429436,8.07380575421813,8.03546461535422,8.23373417823074,7.91976431972609,8.00104819240277,7.98095244749067,8.09078158895898,8.41856577733689,8.02747767474599,7.86147177175711,7.91873430668307,7.91728241003154,8.60149641128335,7.96866866010188,8.07626022713112,6.98264998275351,6.96143986027104,6.90915617370819
"HSPE1",9.28518021658541,9.07915084480826,9.39022623417729,8.03282883471727,8.97783290177933,9.44473325366526,8.53517124643149,8.47989113482082,8.40630397544757,8.70942449301663,9.38469018521867,8.6346475250205,9.53985442399958,8.47700528993166,8.35320238828063,9.02937205576591,8.42246917673244,9.33810364790419,9.3058318139453,9.58902637642116,9.61532901183888
"HDLBP",7.71058370168779,7.8105660728265,7.93823287166116,8.46544114939752,8.29587444960923,8.48224309232957,8.17432365028048,8.03261027759575,8.04897546628012,6.67562954242508,6.99667101008014,8.31188997061963,8.49602288766988,8.38008600670409,8.16779302533796,8.43963396295945,8.08129298612772,8.33536101476673,7.34240420970298,7.52631660039228,7.47769993886612
"TMEM59",8.28167606629225,8.35914582079715,8.24294547061718,8.07141968922464,8.54218188299157,9.21783800164057,8.91933911995911,8.19394044986491,8.04108377715487,8.9090448331263,8.89951794806904,9.40257175275382,8.62959760399094,9.13389052279565,8.75515696259536,9.72926728576716,8.76123645969501,9.04742132177312,7.26484817595787,7.02102558132088,7.13276167114546
"RPL22",10.1728830061939,9.520148756005,9.49610111437044,10.3983491917651,10.2500107445812,9.88210193553113,7.76668479247128,10.0818581538929,9.80627006916818,9.78495222587937,8.7671550981067,8.94665624114526,9.92308988053891,9.77010565391861,8.70054359894025,10.4109217261041,9.03483749862036,9.92463168016626,9.75211590133392,9.84385590459509,9.94762488626976
"PARK7",9.25345038975968,8.21687008156269,8.31957670115557,8.47854397035362,9.2018892128388,9.58746425894294,8.76928949445378,9.03422480944333,8.69607085605864,9.41801280342505,8.93259872419004,9.04782075142372,8.87429095301385,8.83075882787218,8.55185365023473,8.77788049599145,8.78146766445834,9.38201427130207,8.10171928914169,8.17600279920662,8.13874334368819
"ATP5PB",9.27511800301451,9.64031452166184,9.25204218847598,9.11633966408298,9.413846817323,9.58460687776834,9.80955174339357,9.2834187940864,9.71712401189249,8.58040153374134,9.76287234654557,9.66121650528348,9.16667348803378,9.4624277745183,8.61694747718962,8.79437705463635,8.74350773777952,9.09673820092437,8.50049356850636,8.62208784498285,8.74837563712985
"SFPQ",8.63428081555579,8.16549085899893,8.06771241523167,7.71689185244961,7.6100703675935,7.80007761993253,7.53539054694751,7.91366015857164,8.06654242753038,8.45306031912331,8.12697376030141,7.53129524841076,8.10064864944925,7.09567933006575,7.68132772413696,8.42271070993773,7.69679277069706,8.18441114297153,8.09580507578287,8.15870647476412,7.99370237186105
"SDHB",8.86751460399878,9.20587403529339,8.95426699039209,8.15860997383109,9.0376474460591,9.09413024691662,7.62982782256007,8.80941562605618,8.2825974110445,8.84527830904739,8.55238586552601,8.11386553588735,9.35955614892172,8.72398228245075,7.35606028443152,8.1722779264957,7.68913895836457,8.38846650351713,8.7016675662856,8.84184982195818,8.87881232894441
